Number of nodes 969
   380 : -2.6063064e-01 -1.8556856e+00
   381 :  1.6914642e+00  7.6948689e-01
   382 : -1.8535492e+00  1.3236167e-01
   383 : -1.4932290e+00 -1.1118099e+00
   384 :  9.2718776e-01 -1.6140513e+00
   385 :  9.0515284e-01  1.6173755e+00
   386 : -4.0610578e-01  1.8182888e+00
   387 : -1.4117093e+00  1.2009948e+00
   388 : -2.1761857e-01 -5.0791922e-01
   389 :  2.4066341e-01 -1.8445960e+00
   390 :  1.5310031e+00 -1.0563225e+00
   391 :  1.8482281e+00  2.4796925e-01
   392 :  1.4771040e+00  1.1500007e+00
   393 : -1.7851010e+00  5.6370322e-01
   394 : -1.0766355e+00  1.5320043e+00
   395 : -5.3346894e-01 -1.7927470e+00
   396 :  1.6906878e+00 -7.7843935e-01
   397 : -7.8410435e-02 -1.8610353e+00
   398 :  1.8032404e+00  5.2375512e-01
   399 : -1.8654829e+00 -1.3847490e-01
   400 :  1.8365393e+00 -3.5824250e-01
   401 : -1.3853387e-01  1.8662773e+00
   402 : -1.3233278e+00 -1.3233278e+00
   403 :  1.1456917e+00 -1.4640249e+00
   404 : -4.8663674e-01  2.2812593e-01
   405 :  1.9628906e-02  5.3709540e-01
   406 : -2.7320861e-01  4.4550518e-01
   407 : -4.8663674e-01 -2.2812593e-01
   408 :  4.6868482e-01 -2.6303867e-01
   409 :  4.2539148e-01  3.2847662e-01
   410 :  5.2105425e-01  3.9310172e-02
   411 :  1.6318191e+00  9.3141427e-01
   412 : -1.8540197e+00  3.0492404e-01
   413 : -1.6035941e+00 -9.7941797e-01
   414 :  7.8289530e-01 -1.7082079e+00
   415 :  1.0654849e+00  1.5363471e+00
   416 : -1.5337651e+00  1.0691986e+00
   417 : -5.7191146e-01  1.7784494e+00
   418 : -1.2979250e+00  1.3640241e+00
   419 :  7.4193134e-01  1.7311066e+00
   420 :  8.2630099e-01  1.6956233e+00
   421 : -1.3650209e+00  1.3017502e+00
   422 : -9.3125479e-01 -1.6420214e+00
   423 : -1.0409119e+00 -1.5802370e+00
   424 : -7.3468865e-01 -1.7265440e+00
   425 : -1.8189539e+00 -5.1796707e-01
