Number of nodes 3320
   367 :  1.3249620e+00 -1.4981575e+00
   368 :  1.3470684e+00 -1.4783121e+00
   369 :  1.3688776e+00 -1.4581406e+00
   370 :  1.3903849e+00 -1.4376474e+00
   371 :  1.4115853e+00 -1.4168369e+00
   372 :  1.4324743e+00 -1.3957139e+00
   373 :  1.4530473e+00 -1.3742829e+00
   374 :  1.4732996e+00 -1.3525488e+00
   375 :  1.4932270e+00 -1.3305162e+00
   376 :  1.5128248e+00 -1.3081900e+00
   377 :  1.5320889e+00 -1.2855752e+00
   378 :  1.5510149e+00 -1.2626768e+00
   379 :  1.5695988e+00 -1.2394998e+00
   380 :  1.5878363e+00 -1.2160493e+00
   381 :  1.6057235e+00 -1.1923305e+00
   382 :  1.6232564e+00 -1.1683486e+00
   383 :  1.6404312e+00 -1.1441090e+00
   384 :  1.6572441e+00 -1.1196169e+00
   385 :  1.6736913e+00 -1.0948779e+00
   386 :  1.6897692e+00 -1.0698972e+00
   387 :  1.7054743e+00 -1.0446805e+00
   388 :  1.7208032e+00 -1.0192333e+00
   389 :  1.7357523e+00 -9.9356121e-01
   390 :  1.7503185e+00 -9.6766992e-01
   391 :  1.7644985e+00 -9.4156513e-01
   392 :  1.7782893e+00 -9.1525259e-01
   393 :  1.7916876e+00 -8.8873813e-01
   394 :  1.8046907e+00 -8.6202758e-01
   395 :  1.8172956e+00 -8.3512683e-01
   396 :  1.8294995e+00 -8.0804183e-01
   397 :  1.8412998e+00 -7.8077855e-01
   398 :  1.8526938e+00 -7.5334300e-01
   399 :  1.8636791e+00 -7.2574124e-01
   400 :  1.8742531e+00 -6.9797936e-01
   401 :  1.8844137e+00 -6.7006348e-01
   402 :  1.8941585e+00 -6.4199976e-01
   403 :  1.9034853e+00 -6.1379440e-01
   404 :  1.9123922e+00 -5.8545361e-01
   405 :  1.9208772e+00 -5.5698365e-01
   406 :  1.9289384e+00 -5.2839080e-01
   407 :  1.9365739e+00 -4.9968138e-01
   408 :  1.9437822e+00 -4.7086170e-01
   409 :  1.9505616e+00 -4.4193814e-01
   410 :  1.9569107e+00 -4.1291707e-01
   411 :  1.9628280e+00 -3.8380490e-01
   412 :  1.9683123e+00 -3.5460805e-01
   413 :  1.9733622e+00 -3.2533295e-01
   414 :  1.9779768e+00 -2.9598608e-01
   415 :  1.9821550e+00 -2.6657391e-01
   416 :  1.9858958e+00 -2.3710292e-01
   417 :  1.9891985e+00 -2.0757962e-01
   418 :  1.9920623e+00 -1.7801052e-01
   419 :  1.9944866e+00 -1.4840214e-01
   420 :  1.9964708e+00 -1.1876102e-01
   421 :  1.9980146e+00 -8.9093703e-02
   422 :  1.9991175e+00 -5.9406725e-02
   423 :  1.9997794e+00 -2.9706640e-02
   424 :  3.9890767e-01  2.9541011e-02
   425 :  3.9563664e-01  5.8920679e-02
   426 :  3.9020479e-01  8.7978543e-02
   427 :  3.8264177e-01  1.1655590e-01
   428 :  3.7298889e-01  1.4449667e-01
   429 :  3.6129888e-01  1.7164824e-01
   430 :  3.4763558e-01  1.9786234e-01
   431 :  3.3207361e-01  2.2299578e-01
   432 :  3.1469798e-01  2.4691129e-01
   433 :  2.9560357e-01  2.6947826e-01
   434 :  2.7489467e-01  2.9057343e-01
   435 :  2.5268440e-01  3.1008159e-01
   436 :  2.2909406e-01  3.2789619e-01
   437 :  2.0425248e-01  3.4391994e-01
   438 :  1.7829534e-01  3.5806532e-01
   439 :  1.5136442e-01  3.7025506e-01
   440 :  1.2360680e-01  3.8042261e-01
   441 :  9.5174078e-02  3.8851241e-01
   442 :  6.6221550e-02  3.9448030e-01
   443 :  3.6907344e-02  3.9829367e-01
   444 :  7.3915620e-03  3.9993170e-01
   445 : -2.2164590e-02  3.9938544e-01
   446 : -5.1599687e-02  3.9665788e-01
   447 : -8.0752964e-02  3.9176391e-01
   448 : -1.0946520e-01  3.8473026e-01
   449 : -1.3757957e-01  3.7559534e-01
   450 : -1.6494253e-01  3.6440906e-01
   451 : -1.9140463e-01  3.5123250e-01
   452 : -2.1682134e-01  3.3613763e-01
   453 : -2.4105385e-01  3.1920689e-01
   454 : -2.6396981e-01  3.0053276e-01
   455 : -2.8544406e-01  2.8021722e-01
   456 : -3.0535931e-01  2.5837122e-01
   457 : -3.2360680e-01  2.3511410e-01
   458 : -3.4008685e-01  2.1057287e-01
   459 : -3.5470947e-01  1.8488155e-01
   460 : -3.6739479e-01  1.5818048e-01
   461 : -3.7807353e-01  1.3061549e-01
   462 : -3.8668736e-01  1.0233711e-01
   463 : -3.9318924e-01  7.3499807e-02
   464 : -3.9754365e-01  4.4261073e-02
   465 : -3.9972682e-01  1.4780600e-02
   466 : -3.9972682e-01 -1.4780600e-02
   467 : -3.9754365e-01 -4.4261073e-02
   468 : -3.9318924e-01 -7.3499807e-02
   469 : -3.8668736e-01 -1.0233711e-01
   470 : -3.7807353e-01 -1.3061549e-01
   471 : -3.6739479e-01 -1.5818048e-01
   472 : -3.5470947e-01 -1.8488155e-01
   473 : -3.4008685e-01 -2.1057287e-01
   474 : -3.2360680e-01 -2.3511410e-01
   475 : -3.0535931e-01 -2.5837122e-01
   476 : -2.8544406e-01 -2.8021722e-01
   477 : -2.6396981e-01 -3.0053276e-01
   478 : -2.4105385e-01 -3.1920689e-01
   479 : -2.1682134e-01 -3.3613763e-01
   480 : -1.9140463e-01 -3.5123250e-01
   481 : -1.6494253e-01 -3.6440906e-01
   482 : -1.3757957e-01 -3.7559534e-01
   483 : -1.0946520e-01 -3.8473026e-01
   484 : -8.0752964e-02 -3.9176391e-01
   485 : -5.1599687e-02 -3.9665788e-01
   486 : -2.2164590e-02 -3.9938544e-01
   487 :  7.3915620e-03 -3.9993170e-01
   488 :  3.6907344e-02 -3.9829367e-01
   489 :  6.6221550e-02 -3.9448030e-01
   490 :  9.5174078e-02 -3.8851241e-01
   491 :  1.2360680e-01 -3.8042261e-01
   492 :  1.5136442e-01 -3.7025506e-01
   493 :  1.7829534e-01 -3.5806532e-01
   494 :  2.0425248e-01 -3.4391994e-01
   495 :  2.2909406e-01 -3.2789619e-01
   496 :  2.5268440e-01 -3.1008159e-01
   497 :  2.7489467e-01 -2.9057343e-01
   498 :  2.9560357e-01 -2.6947826e-01
   499 :  3.1469798e-01 -2.4691129e-01
   500 :  3.3207361e-01 -2.2299578e-01
   501 :  3.4763558e-01 -1.9786234e-01
   502 :  3.6129888e-01 -1.7164824e-01
   503 :  3.7298889e-01 -1.4449667e-01
   504 :  3.8264177e-01 -1.1655590e-01
   505 :  3.9020479e-01 -8.7978543e-02
   506 :  3.9563664e-01 -5.8920679e-02
   507 :  3.9890767e-01 -2.9541011e-02
   508 : -1.2213904e+00  5.5625239e-03
   509 :  1.1980712e+00 -4.3218187e-02
   510 :  9.0240993e-01  7.7033141e-01
   511 : -8.9933855e-01 -8.2390885e-01
   512 : -8.8990940e-01  8.1142754e-01
   513 :  8.5033527e-01 -8.2427913e-01
   514 :  1.5477267e-01  1.1897708e+00
   515 : -9.9643762e-02 -1.2124947e+00
   516 : -4.7012025e-01  1.2931868e+00
   517 :  4.8142441e-01 -1.3283700e+00
   518 :  1.3687828e+00  4.7734771e-01
   519 : -1.3520506e+00  5.4506861e-01
   520 : -1.3502241e+00 -5.2788198e-01
   521 :  1.3467359e+00 -5.7683098e-01
   522 :  6.9537136e-01  1.2776181e+00
   523 : -6.4244344e-01 -1.3078326e+00
   524 :  3.0506655e-01 -8.4759653e-01
   525 : -2.6905404e-01  8.3927031e-01
   526 :  8.3329202e-01  2.9521796e-01
   527 : -8.2482279e-01 -3.3657090e-01
   528 : -8.3376011e-01  3.2799562e-01
   529 :  8.2097502e-01 -3.5387420e-01
   530 :  4.0930882e-01  7.6655961e-01
   531 : -3.9810637e-01 -8.0039022e-01
   532 : -1.1358599e-01  1.5423811e+00
   533 : -8.9925264e-01  1.2470705e+00
   534 : -1.2238013e+00  1.0075359e+00
   535 :  2.8976272e-01  1.5683934e+00
   536 :  1.2591615e-01 -1.5571396e+00
   537 : -2.7493784e-01 -1.5720504e+00
   538 :  8.8191684e-01 -1.2800085e+00
   539 :  1.2134691e+00 -1.0365054e+00
   540 : -1.0340857e+00 -1.2035135e+00
   541 : -1.3148229e+00 -9.3595096e-01
   542 :  1.0825238e+00  1.1655084e+00
   543 :  1.3486616e+00  8.8658712e-01
   544 :  1.5715884e+00 -2.4377163e-01
   545 :  1.6111535e+00  1.2581076e-01
   546 : -1.5814475e+00  1.8881445e-01
   547 : -1.5902489e+00 -1.6103693e-01
   548 : -5.4056734e-01  6.0096402e-01
   549 : -2.9347222e-03 -7.3937169e-01
   550 :  4.8332264e-01 -5.7288654e-01
   551 : -7.5619001e-01  1.4619179e-02
   552 :  7.3407256e-01 -2.7143619e-02
   553 :  5.6744081e-01  4.7297166e-01
   554 :  9.4759174e-02  7.2843413e-01
   555 : -5.3793370e-01 -4.7153661e-01
   556 :  6.1354153e-01  1.5873957e+00
   557 : -1.4791200e+00  8.3535986e-01
   558 : -3.9868344e-01  1.6238134e+00
   559 : -6.9371757e-01  1.5478647e+00
   560 :  4.2646754e-01 -1.6303586e+00
   561 :  7.1676573e-01 -1.5376363e+00
   562 : -1.6509493e+00 -4.7639079e-01
   563 : -1.5648549e+00 -7.3224974e-01
   564 :  1.6674960e+00  4.1476924e-01
   565 :  1.5909649e+00  6.7364510e-01
   566 : -5.7561976e-01 -1.6067919e+00
   567 :  1.4651621e+00 -8.7665131e-01
   568 : -8.0586240e-01 -1.5440604e+00
   569 :  1.6089381e+00 -6.6819460e-01
   570 :  8.4805027e-01  1.5205879e+00
   571 : -1.6224093e+00  6.3178760e-01
   572 :  1.7065054e+00 -4.5657465e-01
   573 :  1.0558390e+00  1.4170168e+00
   574 : -1.7283324e+00  4.1209400e-01
   575 :  8.4762539e-02  1.7200451e+00
   576 : -1.1627696e+00  1.2739997e+00
   577 :  1.1667008e+00 -1.3001255e+00
   578 : -7.1024417e-02 -1.7455368e+00
   579 : -5.4266730e-01  3.1120392e-01
   580 : -2.9766890e-01  5.9538825e-01
   581 : -1.3033938e+00 -1.1909259e+00
   582 :  1.3470123e+00  1.1414078e+00
   583 :  1.7557771e+00 -6.5230182e-02
   584 : -1.7621609e+00 -9.4054995e-03
   585 : -1.0164392e+00 -1.4689733e+00
   586 :  1.0212141e+00 -1.4664391e+00
   587 :  1.4668148e-01 -1.7978276e+00
   588 : -1.2589932e-01  1.7814300e+00
   589 : -1.0445504e+00  1.4507890e+00
   590 :  5.3462129e-01 -3.3102349e-01
   591 :  2.3810381e-01 -5.7171319e-01
   592 : -1.9624781e-01 -5.9834788e-01
